199,10,49.4912
124,5.0897,7.2481,1.3408,1.2431,-1.1919,71
124,1.8692,8.616,2.1524,1.116,-0.832,75
122,0.8067,9.5408,3.5653,1.8695,-1.5583,75
118,1.0802,8.5687,2.1943,1.0588,-0.8356,72
123,0.8067,9.5408,3.5653,1.8695,-1.5583,77
123,5.9852,5.9724,0.6327,1.6743,-0.5261,68
115,0.8132,9.2415,3.1895,1.9275,-0.6794,74
117,2.4467,8.5024,1.4488,0.7681,-3.5429,76
124,0.8067,9.5408,3.5653,1.8695,-1.5583,77
117,2.6999,8.468,1.4292,0.7915,-3.5327,77
118,5.0897,7.2481,1.3408,1.2431,-1.1919,71
121,5.9365,6.0695,0.6883,1.6457,-0.5707,71
124,2.8951,8.4333,1.4186,0.8168,-3.5162,72
120,5.0897,7.2481,1.3408,1.2431,-1.1919,73
124,0.0539,8.5945,3.108,0.3194,-0.3394,70
124,1.0802,8.5687,2.1943,1.0588,-0.8356,77
124,6.2584,4.6383,0.0769,2.0079,-0.2469,68
118,0.261,8.6675,3.1988,0.2633,-0.2017,68
119,1.8692,8.616,2.1524,1.116,-0.832,73
123,2.6999,8.468,1.4292,0.7915,-3.5327,75
120,0.8132,9.2415,3.1895,1.9275,-0.6794,73
115,1.8692,8.616,2.1524,1.116,-0.832,71
117,4.9919,7.3627,1.3955,1.2065,-1.1786,71
124,2.1991,8.5294,1.4819,0.7443,-3.5439,73
116,4.9919,7.3627,1.3955,1.2065,-1.1786,70
121,1.3693,8.6251,2.2041,1.0694,-0.7915,74
122,1.3693,8.6251,2.2041,1.0694,-0.7915,75
120,2.6999,8.468,1.4292,0.7915,-3.5327,76
119,0.8412,8.7685,2.5348,1.3349,-0.3426,72
116,0.8067,9.5408,3.5653,1.8695,-1.5583,72
116,0.0539,8.5945,3.108,0.3194,-0.3394,69
120,0.8412,8.7685,2.5348,1.3349,-0.3426,72
119,0.8067,9.5408,3.5653,1.8695,-1.5583,71
123,5.9365,6.0695,0.6883,1.6457,-0.5707,69
124,4.9919,7.3627,1.3955,1.2065,-1.1786,73
123,-0.0194,9.3677,4.6022,0.0669,0.799,66
124,5.9852,5.9724,0.6327,1.6743,-0.5261,67
122,2.8951,8.4333,1.4186,0.8168,-3.5162,74
117,2.1991,8.5294,1.4819,0.7443,-3.5439,77
121,5.0897,7.2481,1.3408,1.2431,-1.1919,73
121,2.8951,8.4333,1.4186,0.8168,-3.5162,76
117,0.261,8.6675,3.1988,0.2633,-0.2017,68
120,1.3693,8.6251,2.2041,1.0694,-0.7915,73
115,1.3693,8.6251,2.2041,1.0694,-0.7915,71
122,4.9919,7.3627,1.3955,1.2065,-1.1786,71
