199,10,49.4894
76,1.1441,-4.9055,0.1718,-2.5848,-1.781,36
79,0.0325,-6.3235,1.1801,-3.1735,-1.5227,33
78,-0.754,-4.426,-0.2812,-2.7497,-1.7752,32
76,-0.5405,-4.523,-0.13,-2.7512,-1.7486,32
78,2.1163,-4.9245,0.1057,-2.3733,-1.3401,0
79,-0.1289,-5.0078,0.378,-2.9426,-1.4303,40
77,-1.3027,-4.5039,-1.1939,-2.4682,-1.984,36
76,-1.4101,-3.9591,-0.9727,-2.4019,-1.8027,33
75,-0.5351,-6.397,1.7449,-3.34,-0.65,32
79,0.2417,-5.5228,0.3961,-2.7971,-1.9373,41
77,2.0123,-5.1905,0.1808,-2.7184,-1.0219,0
77,1.1441,-4.9055,0.1718,-2.5848,-1.781,44
75,-0.754,-4.426,-0.2812,-2.7497,-1.7752,33
77,-1.4101,-3.9591,-0.9727,-2.4019,-1.8027,43
77,-0.7585,-6.8541,2.2809,-2.9249,-0.3866,29
79,-0.3163,-5.6135,0.9494,-3.3176,-1.2147,40
74,1.9077,-5.1862,0.1862,-2.7588,-1.0996,0
78,-0.2571,-6.9564,1.9429,-2.7622,-1.2694,32
76,-1.1273,-4.2109,-0.6276,-2.6454,-1.7899,32
77,-0.3554,-5.7627,1.1037,-3.3717,-1.1132,28
76,-0.501,-7.4026,2.4558,-2.2037,-1.0199,41
77,-1.1273,-4.2109,-0.6276,-2.6454,-1.7899,29
80,0.2417,-5.5228,0.3961,-2.7971,-1.9373,41
80,0.0325,-6.3235,1.1801,-3.1735,-1.5227,36
76,-0.754,-4.426,-0.2812,-2.7497,-1.7752,32
78,-0.7599,-4.893,-0.5565,-2.7977,-1.9744,40
79,-0.026,-5.1915,-0.0582,-2.6698,-1.9618,45
76,-0.026,-5.1915,-0.0582,-2.6698,-1.9618,33
75,0.0325,-6.3235,1.1801,-3.1735,-1.5227,46
75,-0.8586,-7.065,2.5159,-2.6597,-0.2397,33
74,2.0123,-5.1905,0.1808,-2.7184,-1.0219,0
78,0.2417,-5.5228,0.3961,-2.7971,-1.9373,33
73,-0.3554,-5.7627,1.1037,-3.3717,-1.1132,33
74,1.1441,-4.9055,0.1718,-2.5848,-1.781,32
77,1.0381,-5.1441,0.2213,-2.9443,-1.4857,31
76,-0.5351,-6.397,1.7449,-3.34,-0.65,29
78,0.0325,-6.3235,1.1801,-3.1735,-1.5227,31
76,-0.1289,-5.0078,0.378,-2.9426,-1.4303,29
80,0.0714,-6.168,1.0224,-3.1209,-1.6468,39
77,-0.501,-7.4026,2.4558,-2.2037,-1.0199,35
79,-0.501,-7.4026,2.4558,-2.2037,-1.0199,34
